show_id,title,sentiment_compound,sentiment_label
s141,"El patrón, radiografía de un crimen",-0.7506,negative
s142,Extraction,-0.6908,negative
s143,Freedom Writers,-0.4588,negative
s144,Green Lantern,0.4019,positive
s145,House Party,-0.0258,neutral
s146,House Party 2,0.0387,neutral
s147,House Party 3,0.5267,positive
s148,How to Be a Cowboy,0.3818,positive
s149,HQ Barbers,-0.4588,negative
s150,I Got the Hook Up,0.0,neutral
s151,In Too Deep,-0.9001,negative
s152,Initial D,0.0,neutral
s153,Janoskians: Untold and Untrue,0.4767,positive
s154,Kid-E-Cats,0.8126,positive
s155,Kuroko's Basketball,0.7096,positive
s156,Labyrinth,0.5106,positive
s157,Letters to Juliet,0.6486,positive
s158,Level 16,0.7003,positive
s159,Love Don't Cost a Thing,0.7579,positive
s160,Love in a Puff,-0.5574,negative
s161,Major Dad,-0.296,negative
s162,Mars Attacks!,-0.2204,negative
s163,Marshall,0.7906,positive
s164,My Boss's Daughter,0.8316,positive
s165,Mystery Men,0.9042,positive
s166,Oldsters,0.8481,positive
s167,Once Upon a Time in America,-0.7906,negative
s168,Open Season 2,0.5106,positive
s169,Osmosis Jones,0.0,neutral
s170,Poseidon,-0.7717,negative
s171,Rhyme & Reason,-0.6249,negative
s172,Same Kind of Different as Me,0.8201,positive
s173,School of Rock,0.0,neutral
s174,Snervous Tyler Oakley,0.7717,positive
s175,Tears of the Sun,0.8658,positive
s176,The Blue Lagoon,0.7964,positive
s177,The Golden Child,-0.5574,negative
s178,The Guns of Navarone,-0.8519,negative
s179,The Interview,0.3612,positive
s180,The Nutty Professor,0.7717,positive
s181,The Nutty Professor II: The Klumps,-0.8074,negative
s182,Turning Point: 9/11 and the War on Terror,-0.8225,negative
s183,Welcome Home Roscoe Jenkins,0.0,neutral
s184,In the Line of Fire,-0.8176,negative
s185,Sparking Joy,0.5106,positive
s186,Untold: Crime & Penalties,-0.6705,negative
s187,Hometown Cha-Cha-Cha,0.5859,positive
s188,The Ingenuity of the Househusband,0.6597,positive
s189,2 Alone in Paris,-0.25,negative
s190,Bread Barbershop,0.5859,positive
s191,Thimmarusu,-0.743,negative
s192,Wind River,-0.6908,negative
s193,C Kkompany,0.0387,neutral
s194,D.P.,-0.4404,negative
s195,Deadly Sins,-0.5859,negative
s196,EMI: Liya Hai To Chukana Padega,-0.4404,negative
s197,He's All That,0.0,neutral
s198,I Heart Arlo,0.6808,positive
s199,King of Boys: The Return of the King,-0.7351,negative
s200,Koi Aap Sa,0.8873,positive
s201,Krishna Cottage,0.8957,positive
s202,Kucch To Hai,-0.9584,negative
s203,Kyaa Kool Hai Hum,0.4678,positive
s204,Kyaa Kool Hain Hum 3,0.4404,positive
s205,Kyaa Super Kool Hain Hum,0.5859,positive
s206,Kyo Kii... Main Jhuth Nahin Bolta,-0.5574,negative
s207,"LSD: Love, Sex Aur Dhokha",0.0,neutral
s208,Mission Istaanbul: Darr Ke Aagey Jeet Hai,0.0,neutral
s209,Once Upon a Time in Mumbaai,-0.5106,negative
s210,Once Upon a Time in Mumbai Dobaara!,0.0,neutral
s211,Ragini MMS,-0.7845,negative
s212,Ragini MMS 2,-0.34,negative
s213,Rebellion,-0.8979,negative
s214,RIDE ON TIME,0.7184,positive
s215,SAS: Rise of the Black Swan,0.4019,positive
s216,Shootout at Lokhandwala,-0.5267,negative
s217,Shor In the City,-0.8591,negative
s218,The Dirty Picture,0.3182,positive
s219,Titletown High,0.7906,positive
s220,EDENS ZERO,0.296,positive
s221,Family Reunion,0.0772,positive
s222,"Bob Ross: Happy Accidents, Betrayal & Greed",0.6187,positive
s223,Clickbait,-0.8934,negative
s224,John of God: The Crimes of a Spiritual Healer,-0.7184,negative
s225,Motel Makeover,0.0,neutral
s226,Open Your Eyes,-0.743,negative
s227,Post Mortem: No One Dies in Skarnes,-0.8555,negative
s228,Really Love,0.8126,positive
s229,The November Man,-0.6068,negative
s230,The Old Ways,0.0,neutral
s231,The River Runner,0.6249,positive
s232,The Water Man,-0.7184,negative
s233,Wheel of Fortune,0.7841,positive
s234,Count Me In,0.7906,positive
s235,Oggy Oggy,0.9508,positive
s236,Untold: Caitlyn Jenner,0.9158,positive
s237,Boomika,-0.6187,negative
s238,Boomika (Hindi),-0.6187,negative
s239,Boomika (Malayalam),-0.6187,negative
s240,Boomika (Telugu),-0.6187,negative
s241,The Witcher: Nightmare of the Wolf,-0.6249,negative
s242,Manifest,-0.2023,negative
s243,Comedy Premium League,0.743,positive
s244,Everything Will Be Fine,0.4404,positive
s245,Gunshot,0.0772,positive
s246,Korean Cold Noodle Rhapsody,0.5994,positive
s247,Man in Love,0.8658,positive
s248,Sweet Girl,-0.3769,negative
s249,The Chair,-0.5106,negative
s250,The Loud House Movie,0.0,neutral
s251,A Faraway Land,0.6369,positive
s252,Like Crazy,0.1901,positive
s253,Black Island,0.1531,positive
s254,Bombay,-0.1779,negative
s255,Go! Go! Cory Carson,0.8439,positive
s256,Memories of a Murderer: The Nilsen Tapes,-0.8689,negative
s257,Nneka The Pretty Serpent,-0.9287,negative
s258,O Kadhal Kanmani,0.3818,positive
s259,Out of my league,0.4215,positive
s260,Pahuna,0.0,neutral
s261,The Defeated,-0.7579,negative
s262,The Secret Diary of an Exchange Student,0.1027,positive
s263,Untold: Deal With the Devil,-0.9231,negative
s264,Mother Goose Club,0.5994,positive
s265,Walk of Shame,0.0,neutral
s266,Rascal Does Not Dream of Bunny Girl Senpai,-0.4767,negative
s267,The Creative Indians,0.5267,positive
s268,The Piano,0.25,positive
s269,Unroyal,-0.9081,negative
s270,Winx Club,-0.4767,negative
s271,Beckett,-0.9246,negative
s272,Brand New Cherry Flavor,-0.6808,negative
s273,Fast & Furious Spy Racers,-0.0772,negative
s274,Gone for Good,0.5574,positive
s275,Grace and Frankie,0.3865,positive
s276,The Kingdom,-0.5023,negative
s277,Valeria,0.8271,positive
s278,AlRawabi School for Girls,-0.7096,negative
s279,Lokillo: Nothing's the Same,0.3818,positive
s280,Monster Hunter: Legends of the Guild,-0.8176,negative
s281,Bake Squad,0.8258,positive
s282,Brother Jekwu,0.2023,positive
s283,La diosa del asfalto,-0.5574,negative
s284,Misha and the Wolves,0.3612,positive
s285,The Kissing Booth 3,0.34,positive
s286,The Railway Man,-0.25,negative
s287,Gabby's Dollhouse,0.8553,positive
s288,I Need Romance,0.9201,positive
s289,Las muñecas de la mafia,0.5789,positive
s290,The Crowned Clown,0.6187,positive
s291,Untold: Malice at the Palace,-0.3818,negative
s292,SHAMAN KING,-0.3818,negative
s293,Quartet,0.4939,positive
s294,Slay,0.872,positive
s295,Takizawa Kabuki ZERO 2020 The Movie,0.6808,positive
s296,The Paper Tigers,0.5106,positive
s297,Hit & Run,-0.6908,negative
s298,Navarasa,0.3612,positive
s299,Quam's Money,-0.1531,negative
s300,The Swarm,-0.5499,negative
s301,Vivo,0.8834,positive
s302,Chennai Express,0.7184,positive
s303,City of God: 10 Years Later,0.0,neutral
s304,Esperando la carroza,0.0,neutral
s305,Lady Boss: The Jackie Collins Story,-0.4019,negative
s306,Tango Feroz,0.296,positive
s307,'76,0.6597,positive
s308,Aftermath,-0.8176,negative
s309,American Masters: Inventing David Geffen,0.4754,positive
s310,Car Masters: Rust to Riches,0.0,neutral
s311,Cocaine Cowboys: The Kings of Miami,0.7134,positive
s312,Control Z,-0.1655,negative
s313,Cooking With Paris,0.0258,neutral
s314,Autumn's Concerto,0.5859,positive
s315,Heavy,-0.7579,negative
s316,Ije: The Journey,-0.3182,negative
s317,Office Girls,0.0,neutral
s318,Pray Away,-0.743,negative
s319,Shiny_Flakes: The Teenage Drug Lord,0.4939,positive
s320,The Prince Who Turns into a Frog,0.6369,positive
s321,Top Secret UFO Projects: Declassified,0.3612,positive
s322,Two Fathers,0.128,positive
s323,You're My Destiny,0.743,positive
s324,30 Rock,-0.3818,negative
s325,44 Cats,0.4767,positive
s326,Beethoven,-0.25,negative
s327,Beethoven's 2nd,0.0,neutral
s328,Beowulf,0.5574,positive
s329,Boyka: Undisputed,-0.7906,negative
s330,Catch Me If You Can,0.0,neutral
s331,Cloudy with a Chance of Meatballs,-0.7684,negative
s332,Darwin’s Game,0.25,positive
s333,Deep Blue Sea,0.4497,positive
s334,Ferris Bueller's Day Off,0.7506,positive
s335,Five Feet Apart,0.0772,positive
s336,Freedomland,0.0,neutral
s337,Friday Night Lights,0.7579,positive
s338,Good Luck Chuck,0.6705,positive
s339,Hunter X Hunter (2011),0.5859,positive
s340,I missed you: Director's Cut,-0.2732,negative
s341,Inception,-0.7783,negative
s342,Magnolia,0.6808,positive
s343,Major Payne,0.0,neutral
s344,My Girl,0.7003,positive
s345,My Girl 2,0.1779,positive
s346,Open Season: Scared Silly,-0.3612,negative
s347,Pineapple Express,-0.886,negative
s348,Planet 51,0.25,positive
s349,Poms,-0.0258,neutral
s350,Seabiscuit,0.8779,positive
s351,Space Cowboys,0.4588,positive
s352,Team America: World Police,0.2732,positive
s353,The Edge of Seventeen,0.802,positive
s354,The Haunting in Connecticut 2: Ghosts of Georgia,-0.5267,negative
s355,The Last Boy Scout,-0.8555,negative
s356,The Lincoln Lawyer,-0.4404,negative
s357,The Losers,-0.5574,negative
s358,The Machinist,-0.4767,negative
s359,The Net,-0.2023,negative
s360,The Original Kings of Comedy,0.5859,positive
s361,Valentine's Day,0.7841,positive
s362,Charmed,-0.7845,negative
s363,The Lost Café,0.5927,positive
s364,The Vault,-0.5267,negative
s365,Centaurworld,0.5859,positive
s366,Eyes of a Thief,-0.6808,negative
s367,Glow Up,0.8934,positive
s368,I'm Glad I Did,0.0,neutral
s369,Khawatir,0.0,neutral
s370,Myth & Mogul: John DeLorean,-0.8807,negative
s371,Outer Banks,0.8591,positive
s372,Pomegranates and Myrrh,0.128,positive
s373,Rurouni Kenshin: The Beginning,0.4588,positive
s374,The Last Mercenary,0.1779,positive
s375,Flower Girl,0.7906,positive
s376,Resort to Love,-0.4767,negative
s377,Transformers: War for Cybertron: Kingdom,-0.5719,negative
s378,Bartkowiak,-0.9022,negative
s379,Fantastic Fungi,0.6486,positive
s380,Tattoo Redo,0.6486,positive
s381,The Flash,0.1027,positive
s382,The Snitch Cartel: Origins,-0.6597,negative
s383,All American,0.0,neutral
s384,Department,-0.6956,negative
s385,Hostage House,0.2023,positive
s386,How to Sell Drugs Online (Fast),0.8176,positive
s387,Mighty Express,0.1759,positive
s388,Mimi,0.1027,positive
s389,Plastic Cup Boyz: Laughing My Mask Off!,0.6597,positive
s390,The Operative,-0.4939,negative
s391,The Walking Dead,0.0772,positive
s392,Wynonna Earp,0.25,positive
s393,Django Unchained,0.7184,positive
s394,A Second Chance:  Rivals!,-0.4215,negative
s395,African America,0.25,positive
s396,Bankrolled,0.7184,positive
s397,Blood Red Sky,-0.6486,negative
s398,Feels Like Ishq,0.4019,positive
s399,Kingdom: Ashin of the North,-0.8113,negative
s400,Masters of the Universe: Revelation,-0.3612,negative
s401,Revelations: The Masters of the Universe: Revelation Aftershow,0.0,neutral
s402,Sky Rojo,-0.765,negative
s403,The Last Letter From Your Lover,0.8625,positive
s404,The Movies That Made Us,0.0,neutral
s405,9to5: The Story of a Movement,0.6801,positive
s406,Chhota Bheem - Dinosaur World,0.7269,positive
s407,Chhota Bheem - Neeli Pahaadi,-0.6808,negative
s408,Chhota Bheem & Ganesh,0.69,positive
s409,Chhota Bheem & Krishna: Mayanagari,-0.784,negative
s410,Chhota Bheem & Krishna: Pataliputra- City of the Dead,0.4574,positive
s411,Chhota Bheem And The Broken Amulet,-0.9169,negative
s412,Chhota Bheem And The Crown of Valhalla,0.7574,positive
s413,Chhota Bheem and the Incan Adventure,0.3716,positive
s414,Chhota Bheem and The ShiNobi Secret,-0.1779,negative
s415,Chhota Bheem Aur Hanuman,0.4215,positive
s416,Chhota Bheem aur Krishna,-0.3382,negative
s417,Chhota Bheem aur Krishna vs Zimbara,0.0964,positive
s418,Chhota Bheem in African Safari,-0.5267,negative
s419,Chhota Bheem Ka Roosi Romanch,-0.1027,negative
s420,Chhota Bheem: Bheem vs Aliens,0.1511,positive
s421,Chhota Bheem: Dholakpur to Kathmandu,0.7096,positive
s422,Chhota Bheem: Dus Pe Dus,-0.0516,negative
s423,Chhota Bheem: Journey to Petra,0.9117,positive
s424,Chhota Bheem: Master of Shaolin,-0.784,negative
s425,Chhota Bheem: The Rise of Kirmada,-0.2732,negative
s426,Chicago Med,-0.6808,negative
s427,Cousins,-0.4588,negative
s428,Wannabe Courageous,0.34,positive
s429,Words Bubble Up Like Soda Pop,0.631,positive
s430,Sanitation Day,-0.6705,negative
s431,Sexy Beasts,0.6808,positive
s432,Too Hot to Handle: Brazil,0.744,positive
s433,Trollhunters: Rise of the Titans,-0.6124,negative
s434,Milkwater,0.1531,positive
s435,Okupas,-0.7579,negative
s436,Touch Your Heart,-0.5719,negative
s437,The Tambour of Retribution,0.6369,positive
s438,Cosmic Sin,-0.8442,negative
s439,2 Weeks in Lagos,0.6369,positive
s440,Deep,0.0,neutral
s441,Explained,-0.0516,negative
s442,Fear Street Part 3: 1666,0.4215,positive
s443,Johnny Test,0.5093,positive
s444,La ley de Herodes,-0.836,negative
s445,Naomi Osaka,0.4767,positive
s446,The Beguiled,-0.4939,negative
s447,The Book of Henry,-0.4767,negative
s448,The Twilight Saga: Breaking Dawn: Part 1,-0.1779,negative
s449,The Twilight Saga: Breaking Dawn: Part 2,-0.3182,negative
s450,The Twilight Saga: Eclipse,-0.25,negative
s451,The Twilight Saga: New Moon,0.0258,neutral
s452,Twilight,0.0,neutral
s453,A Perfect Fit,0.3818,positive
s454,BEASTARS,-0.4215,negative
s455,Cheech & Chong's Still Smokin,0.0,neutral
s456,Emicida: AmarElo - Live in São Paulo,0.0,neutral
s457,Her Private Life,0.3182,positive
s458,Lift Like a Girl,0.4767,positive
s459,My Amanda,0.7043,positive
s460,Never Have I Ever,0.8201,positive
s461,Surf's Up,0.6597,positive
s462,The Unknown Saint,-0.6808,negative
s463,This Changes Everything,0.0,neutral
s464,A Classic Horror Story,-0.3818,negative
s465,Gunpowder Milkshake,-0.3182,negative
s466,Heist,-0.6858,negative
s467,My Unorthodox Life,0.0,neutral
s468,Private Network: Who Killed Manuel Buendía?,-0.6908,negative
s469,The Guide to the Perfect Family,0.2023,positive
s470,American Woman,-0.34,negative
s471,Bridgerton - The Afterparty,0.5859,positive
s472,Day of Destiny,-0.5574,negative
s473,Ridley Jones,0.9523,positive
s474,Born to Play,-0.2732,negative
s475,American Ultra,0.0,neutral
s476,The Stand-Up,0.7717,positive
s477,The Tour,0.296,positive
s478,Atypical,0.0,neutral
s479,Biohackers,-0.5574,negative
s480,Fear Street Part 2: 1978,-0.8442,negative
s481,Finding Hubby,0.8338,positive
s482,How I Became a Superhero,0.2023,positive
s483,How to Become a Tyrant,0.0,neutral
s484,Last Summer,0.7906,positive
s485,Lee Su-geun: The Sense Coach,0.9118,positive
s486,Lethal Love,-0.7184,negative
s487,Ratchet and Clank,-0.7845,negative
s488,The Cook of Castamar,0.3612,positive
s489,Virgin River,0.4939,positive
s490,Back to Q82,-0.5023,negative
s491,Elize Matsunaga: Once Upon a Crime,-0.296,negative
s492,Home Again,0.0,neutral
s493,Midnight Sun,0.3818,positive
s494,RESIDENT EVIL: Infinite Darkness,-0.8807,negative
s495,Rock the Kasbah,0.6908,positive
s496,Awon Boyz,0.4939,positive
s497,Brick Mansions,-0.7184,negative
s498,Cat People,0.9294,positive
s499,Clash,0.34,positive
s500,Dogs,-0.128,negative
s501,Major Grom: Plague Doctor,-0.8834,negative
s502,Mama Drama,-0.2144,negative
s503,Tango With Me,-0.5719,negative
s504,The Mire,-0.7184,negative
s505,The War Next-door,-0.765,negative
s506,Therapy,0.0,neutral
s507,This Little Love Of Mine,0.3818,positive
s508,Three Thieves,-0.6369,negative
s509,A Land Imagined,0.2023,positive
s510,Ask the StoryBots,0.5859,positive
s511,Between,-0.5423,negative
s512,Chelsea,0.8807,positive
s513,Code Lyoko,-0.7003,negative
s514,Colony,-0.5267,negative
s515,Cuckoo,0.1406,positive
s516,Derry Girls,-0.25,negative
s517,Girl from Nowhere,-0.2263,negative
s518,Good Morning Call,0.6297,positive
s519,Har Kisse Ke Hisse: Kaamyaab,0.1901,positive
s520,I AM A KILLER,-0.8625,negative
s521,I Think You Should Leave with Tim Robinson,0.0772,positive
s522,Kim's Convenience,0.0,neutral
s523,Larva,0.3182,positive
s524,Marcella,-0.6486,negative
s525,Midnight Diner: Tokyo Stories,0.765,positive
s526,My Little Pony: Friendship Is Magic,0.9153,positive
s527,Orange Is the New Black,-0.5994,negative
s528,Puffin Rock,0.8689,positive
s529,Rehmataan,0.0,neutral
s530,Return of the Prodigal Son,0.1779,positive
s531,Richie Rich,0.8834,positive
s532,Rise: Ini Kalilah,0.1531,positive
s533,Scream,-0.8591,negative
s534,Shtisel,0.4404,positive
s535,Si Doel the Movie 2,0.0,neutral
s536,Some Assembly Required,0.8934,positive
s537,Tales by Light,0.0,neutral
s538,Terrace House: Opening New Doors,0.4019,positive
s539,The A List,0.5106,positive
s540,The New Legends of Monkey,-0.5423,negative
s541,The Worst Witch,0.7906,positive
s542,Truckbhar Swapna,0.4404,positive
s543,Ujala,0.8608,positive
s544,Undercover,0.4939,positive
s545,Workin' Moms,0.6124,positive
s546,YooHoo to the Rescue,0.4019,positive
s547,You Are My Spring,-0.7096,negative
s548,We the People,0.6486,positive
s549,Grey's Anatomy,0.5267,positive
s550,Big Timber,-0.128,negative
s551,Fear Street Part 1: 1994,-0.743,negative
s552,Haseen Dillruba,-0.7717,negative
s553,Holiday on Mars,0.1779,positive
s554,Mortel,-0.4019,negative
s555,RattleSnake - The Ahanna Story,-0.7391,negative
s556,Snowpiercer,0.0,neutral
s557,The 8th Night,-0.1779,negative
s558,Winchester,-0.6705,negative
s559,6 Bullets,-0.296,negative
s560,Air Force One,-0.6124,negative
s561,Audible,-0.7003,negative
s562,Austin Powers in Goldmember,-0.926,negative
s563,Austin Powers: International Man of Mystery,-0.8519,negative
s564,Austin Powers: The Spy Who Shagged Me,-0.8225,negative
s565,Boogie Nights,0.0,neutral
s566,Bureau of Magical Things,-0.25,negative
s567,Charlie's Angels,-0.5267,negative
s568,Congo,-0.5719,negative
s569,Dennis the Menace,-0.9231,negative
s570,Dreamy Eyes,0.8271,positive
s571,Dynasty Warriors,0.296,positive
s572,Generation 56k,0.25,positive
s573,Hampstead,0.5994,positive
s574,Kung Fu Panda,-0.6369,negative
s575,Kung Fu Panda 2,-0.9485,negative
s576,Life as We Know It,0.3716,positive
s577,Mary Magdalene,-0.3182,negative
s578,Masameer County,-0.6486,negative
s579,Memoirs of a Geisha,-0.5267,negative
s580,Midnight Run,-0.4019,negative
s581,Mobile Suit Gundam Hathaway,-0.7184,negative
s582,Mortal Kombat,-0.6808,negative
s583,Mother's Day,0.0,neutral
s584,No Strings Attached,0.6486,positive
s585,Not Another Teen Movie,0.0258,neutral
s586,Ophelia,0.1531,positive
s587,Pet Sematary 2,-0.2023,negative
s588,Quarantine Tales,0.0772,positive
s589,Rainbow Rangers,0.8977,positive
s590,Red Joan,-0.743,negative
s591,Sailor Moon Crystal,0.2732,positive
s592,Seven Pounds,0.5994,positive
s593,She's Out of My League,-0.8225,negative
s594,Snow Day,-0.4033,negative
s595,Star Trek,-0.6124,negative
s596,Stuart Little,-0.5709,negative
s597,Sword of Trust,-0.0516,negative
s598,Talladega Nights: The Ballad of Ricky Bobby,0.8074,positive
s599,The American,0.7778,positive
s600,The Best of Enemies,0.4404,positive
s601,The Game,0.0772,positive
s602,The Karate Kid,-0.6249,negative
s603,The Karate Kid Part II,-0.7964,negative
s604,The Karate Kid Part III,-0.7717,negative
s605,The Life of David Gale,-0.9477,negative
s606,The Long Riders,-0.5423,negative
s607,The Queen,-0.5994,negative
s608,The Strangers,-0.8934,negative
s609,The Sum of All Fears,-0.296,negative
s610,The Tourist,-0.3818,negative
s611,Underworld,-0.5994,negative
s612,Underworld: Awakening,-0.926,negative
s613,Underworld: Rise of the Lycans,-0.34,negative
s614,Voiceless,0.128,positive
s615,What Dreams May Come,0.5423,positive
s616,Why Do Fools Fall in Love,0.5994,positive
s617,Working Title,0.4215,positive
s618,Young Royals,0.3269,positive
s619,America: The Motion Picture,0.0,neutral
s620,Deranged,-0.2263,negative
s621,Droppin' Cash: Los Angeles,0.0,neutral
s622,Legend of Exorcism,-0.3818,negative
s623,Lying and Stealing,0.2263,positive
s624,Mommy Issues,-0.3182,negative
s625,Prime Time,-0.128,negative
s626,Somos.,0.5267,positive
s627,Sophie: A Murder in West Cork,-0.7351,negative
s628,The Daily Life of the Immortal King,0.4215,positive
s629,StarBeam,-0.5093,negative
s630,A Way Back Home,-0.9001,negative
s631,Killing Them Softly,-0.4404,negative
s632,The Seven Deadly Sins,-0.4019,negative
s633,Wanted,0.6705,positive
s634,Into the Wind,0.0258,neutral
s635,Wonder Boy,0.6705,positive
s636,Here Comes the Rain,-0.7535,negative
s637,The Ice Road,0.4767,positive
s638,Ray,0.6249,positive
s639,Sex/Life,0.3156,positive
s640,Godzilla Singular Point,-0.6486,negative
s641,Jiva!,0.3612,positive
s642,Sisters on Track,0.0258,neutral
s643,The Naked Director,0.4019,positive
s644,The Seventh Day,-0.7783,negative
s645,Good on Paper,0.9313,positive
s646,Murder by the Coast,-0.7269,negative
s647,The House of Flowers: The Movie,0.6705,positive
